"Step","stairs_pose_net_effb0 - epoch/test_loss","stairs_pose_net_effb0 - epoch/test_loss__MIN","stairs_pose_net_effb0 - epoch/test_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_loss","pumpkin_pose_net_effb0 - epoch/test_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_loss__MAX","office_pose_net_effb0 - epoch/test_loss","office_pose_net_effb0 - epoch/test_loss__MIN","office_pose_net_effb0 - epoch/test_loss__MAX","heads_pose_net_effb0 - epoch/test_loss","heads_pose_net_effb0 - epoch/test_loss__MIN","heads_pose_net_effb0 - epoch/test_loss__MAX","fire_pose_net_effb0 - epoch/test_loss","fire_pose_net_effb0 - epoch/test_loss__MIN","fire_pose_net_effb0 - epoch/test_loss__MAX","chess_pose_net_effb0 - epoch/test_loss","chess_pose_net_effb0 - epoch/test_loss__MIN","chess_pose_net_effb0 - epoch/test_loss__MAX"
"65","5.020272046327591","5.020272046327591","5.020272046327591","6.761881984770298","6.761881984770298","6.761881984770298","13.959209084510803","13.959209084510803","13.959209084510803","5.5845760107040405","5.5845760107040405","5.5845760107040405","13.121628671884537","13.121628671884537","13.121628671884537","4.719230271875858","4.719230271875858","4.719230271875858"
"66","5.045571655035019","5.045571655035019","5.045571655035019","6.762021921575069","6.762021921575069","6.762021921575069","14.007308915257454","14.007308915257454","14.007308915257454","5.567398577928543","5.567398577928543","5.567398577928543","12.989615365862846","12.989615365862846","12.989615365862846","4.711157754063606","4.711157754063606","4.711157754063606"
"67","5.053494185209274","5.053494185209274","5.053494185209274","6.7689976543188095","6.7689976543188095","6.7689976543188095","14.012719549238682","14.012719549238682","14.012719549238682","5.549184203147888","5.549184203147888","5.549184203147888","13.126333087682724","13.126333087682724","13.126333087682724","4.718583546578884","4.718583546578884","4.718583546578884"
"68","5.054954886436462","5.054954886436462","5.054954886436462","6.883182220160961","6.883182220160961","6.883182220160961","14.032433047890663","14.032433047890663","14.032433047890663","5.536025837063789","5.536025837063789","5.536025837063789","12.98320709168911","12.98320709168911","12.98320709168911","4.741501875221729","4.741501875221729","4.741501875221729"
"69","5.03328737616539","5.03328737616539","5.03328737616539","6.86538115888834","6.86538115888834","6.86538115888834","13.780066356062889","13.780066356062889","13.780066356062889","5.508776381611824","5.508776381611824","5.508776381611824","12.959677815437317","12.959677815437317","12.959677815437317","4.744803614914417","4.744803614914417","4.744803614914417"
"70","5.033967465162277","5.033967465162277","5.033967465162277","6.871314637362957","6.871314637362957","6.871314637362957","13.806710958480835","13.806710958480835","13.806710958480835","5.49213682115078","5.49213682115078","5.49213682115078","12.82290804386139","12.82290804386139","12.82290804386139","4.757285065948963","4.757285065948963","4.757285065948963"
"71","5.039279013872147","5.039279013872147","5.039279013872147","6.921599954366684","6.921599954366684","6.921599954366684","13.932623095810413","13.932623095810413","13.932623095810413","5.475529119372368","5.475529119372368","5.475529119372368","12.859702661633492","12.859702661633492","12.859702661633492","4.73849505931139","4.73849505931139","4.73849505931139"
"72","5.069192200899124","5.069192200899124","5.069192200899124","6.884306758642197","6.884306758642197","6.884306758642197","13.68634494394064","13.68634494394064","13.68634494394064","5.4470526576042175","5.4470526576042175","5.4470526576042175","12.821215510368347","12.821215510368347","12.821215510368347","4.72948981076479","4.72948981076479","4.72948981076479"
"73","5.048927843570709","5.048927843570709","5.048927843570709","6.920388303697109","6.920388303697109","6.920388303697109","13.625606633722782","13.625606633722782","13.625606633722782","5.431888073682785","5.431888073682785","5.431888073682785","12.738614961504936","12.738614961504936","12.738614961504936","4.747827231884003","4.747827231884003","4.747827231884003"
"74","5.047923117876053","5.047923117876053","5.047923117876053","6.883091680705547","6.883091680705547","6.883091680705547","13.771460331976414","13.771460331976414","13.771460331976414","5.420862585306168","5.420862585306168","5.420862585306168","12.726294666528702","12.726294666528702","12.726294666528702","4.77040708065033","4.77040708065033","4.77040708065033"
"75","5.044850945472717","5.044850945472717","5.044850945472717","6.906234174966812","6.906234174966812","6.906234174966812","13.709845386445522","13.709845386445522","13.709845386445522","5.416707456111908","5.416707456111908","5.416707456111908","12.711023762822151","12.711023762822151","12.711023762822151","4.747778601944447","4.747778601944447","4.747778601944447"
"76","5.083215057849884","5.083215057849884","5.083215057849884","6.929092600941658","6.929092600941658","6.929092600941658","13.821154318749905","13.821154318749905","13.821154318749905","5.404672488570213","5.404672488570213","5.404672488570213","12.713167876005173","12.713167876005173","12.713167876005173","4.777425535023212","4.777425535023212","4.777425535023212"
"77","4.959291845560074","4.959291845560074","4.959291845560074","6.916511461138725","6.916511461138725","6.916511461138725","13.63997208327055","13.63997208327055","13.63997208327055","5.3913749903440475","5.3913749903440475","5.3913749903440475","12.720923259854317","12.720923259854317","12.720923259854317","4.784203790128231","4.784203790128231","4.784203790128231"
"78","5.00603374838829","5.00603374838829","5.00603374838829","6.9008984342217445","6.9008984342217445","6.9008984342217445","13.670502491295338","13.670502491295338","13.670502491295338","5.3694509863853455","5.3694509863853455","5.3694509863853455","12.70101834833622","12.70101834833622","12.70101834833622","4.790039695799351","4.790039695799351","4.790039695799351"
