"Step","stairs_pose_net_g - epoch/test_loss","stairs_pose_net_g - epoch/test_loss__MIN","stairs_pose_net_g - epoch/test_loss__MAX","pumpkin_pose_net_g - epoch/test_loss","pumpkin_pose_net_g - epoch/test_loss__MIN","pumpkin_pose_net_g - epoch/test_loss__MAX","office_pose_net_g - epoch/test_loss","office_pose_net_g - epoch/test_loss__MIN","office_pose_net_g - epoch/test_loss__MAX","heads_pose_net_g - epoch/test_loss","heads_pose_net_g - epoch/test_loss__MIN","heads_pose_net_g - epoch/test_loss__MAX","fire_pose_net_g - epoch/test_loss","fire_pose_net_g - epoch/test_loss__MIN","fire_pose_net_g - epoch/test_loss__MAX","chess_pose_net_g - epoch/test_loss","chess_pose_net_g - epoch/test_loss__MIN","chess_pose_net_g - epoch/test_loss__MAX"
"51","6.833428129553795","6.833428129553795","6.833428129553795","9.392448518425226","9.392448518425226","9.392448518425226","27.91654074192047","27.91654074192047","27.91654074192047","7.110305607318878","7.110305607318878","7.110305607318878","18.53810441493988","18.53810441493988","18.53810441493988","8.689041495323181","8.689041495323181","8.689041495323181"
"52","6.821852892637253","6.821852892637253","6.821852892637253","9.28171081468463","9.28171081468463","9.28171081468463","27.849769681692123","27.849769681692123","27.849769681692123","7.100965827703476","7.100965827703476","7.100965827703476","18.476527020335197","18.476527020335197","18.476527020335197","8.655798837542534","8.655798837542534","8.655798837542534"
"53","6.8132785856723785","6.8132785856723785","6.8132785856723785","9.162451803684235","9.162451803684235","9.162451803684235","27.780236467719078","27.780236467719078","27.780236467719078","7.092184692621231","7.092184692621231","7.092184692621231","18.407358177006245","18.407358177006245","18.407358177006245","8.622147604823112","8.622147604823112","8.622147604823112"
"54","6.797349184751511","6.797349184751511","6.797349184751511","9.051586203277111","9.051586203277111","9.051586203277111","27.701461598277092","27.701461598277092","27.701461598277092","7.083868131041527","7.083868131041527","7.083868131041527","18.341510578989983","18.341510578989983","18.341510578989983","8.587046831846237","8.587046831846237","8.587046831846237"
"55","6.784760296344757","6.784760296344757","6.784760296344757","8.931104563176632","8.931104563176632","8.931104563176632","27.620074570178986","27.620074570178986","27.620074570178986","7.075288727879524","7.075288727879524","7.075288727879524","18.274567931890488","18.274567931890488","18.274567931890488","8.549709610641003","8.549709610641003","8.549709610641003"
"56","6.773199051618576","6.773199051618576","6.773199051618576","8.810331869870424","8.810331869870424","8.810331869870424","27.53431974351406","27.53431974351406","27.53431974351406","7.066106542944908","7.066106542944908","7.066106542944908","18.1996775791049","18.1996775791049","18.1996775791049","8.511772692203522","8.511772692203522","8.511772692203522"
"57","6.758083000779152","6.758083000779152","6.758083000779152","8.699296921491623","8.699296921491623","8.699296921491623","27.44717213511467","27.44717213511467","27.44717213511467","7.057141691446304","7.057141691446304","7.057141691446304","18.130025826394558","18.130025826394558","18.130025826394558","8.47355654835701","8.47355654835701","8.47355654835701"
"58","6.7407862693071365","6.7407862693071365","6.7407862693071365","8.575887873768806","8.575887873768806","8.575887873768806","27.35616037249565","27.35616037249565","27.35616037249565","7.049569487571716","7.049569487571716","7.049569487571716","18.05232860893011","18.05232860893011","18.05232860893011","8.433804392814636","8.433804392814636","8.433804392814636"
"59","6.723841577768326","6.723841577768326","6.723841577768326","8.46367733180523","8.46367733180523","8.46367733180523","27.256074279546738","27.256074279546738","27.256074279546738","7.0413990914821625","7.0413990914821625","7.0413990914821625","17.974886566400528","17.974886566400528","17.974886566400528","8.395937703549862","8.395937703549862","8.395937703549862"
"60","6.705415412783623","6.705415412783623","6.705415412783623","8.358737647533417","8.358737647533417","8.358737647533417","27.150522753596306","27.150522753596306","27.150522753596306","7.03294138610363","7.03294138610363","7.03294138610363","17.89787532389164","17.89787532389164","17.89787532389164","8.354346163570881","8.354346163570881","8.354346163570881"
"61","6.692733243107796","6.692733243107796","6.692733243107796","8.239803396165371","8.239803396165371","8.239803396165371","27.038434952497482","27.038434952497482","27.038434952497482","7.023631975054741","7.023631975054741","7.023631975054741","17.82504141330719","17.82504141330719","17.82504141330719","8.312626205384731","8.312626205384731","8.312626205384731"
"62","6.6828353106975555","6.6828353106975555","6.6828353106975555","8.125779837369919","8.125779837369919","8.125779837369919","26.927004039287567","26.927004039287567","26.927004039287567","7.013731628656387","7.013731628656387","7.013731628656387","17.73989909887314","17.73989909887314","17.73989909887314","8.27344436943531","8.27344436943531","8.27344436943531"
"63","6.666007921099663","6.666007921099663","6.666007921099663","8.02299738675356","8.02299738675356","8.02299738675356","26.808210611343384","26.808210611343384","26.808210611343384","7.003433287143707","7.003433287143707","7.003433287143707","17.65878987312317","17.65878987312317","17.65878987312317","8.231428511440754","8.231428511440754","8.231428511440754"
"64","6.6460331082344055","6.6460331082344055","6.6460331082344055","7.9046232514083385","7.9046232514083385","7.9046232514083385","26.680729761719704","26.680729761719704","26.680729761719704","6.993052423000336","6.993052423000336","6.993052423000336","17.56884140521288","17.56884140521288","17.56884140521288","8.185777217149734","8.185777217149734","8.185777217149734"
"65","6.631242737174034","6.631242737174034","6.631242737174034","7.8065355978906155","7.8065355978906155","7.8065355978906155","26.543025240302086","26.543025240302086","26.543025240302086","6.982523158192635","6.982523158192635","6.982523158192635","17.48157975822687","17.48157975822687","17.48157975822687","8.138832420110703","8.138832420110703","8.138832420110703"
"66","6.616901651024818","6.616901651024818","6.616901651024818","7.697607539594173","7.697607539594173","7.697607539594173","26.39890493452549","26.39890493452549","26.39890493452549","6.972804203629494","6.972804203629494","6.972804203629494","17.394922509789467","17.394922509789467","17.394922509789467","8.093999654054642","8.093999654054642","8.093999654054642"
"67","6.598804846405983","6.598804846405983","6.598804846405983","7.604558899998665","7.604558899998665","7.604558899998665","26.241472765803337","26.241472765803337","26.241472765803337","6.9640291929244995","6.9640291929244995","6.9640291929244995","17.306720830500126","17.306720830500126","17.306720830500126","8.045474275946617","8.045474275946617","8.045474275946617"
"68","6.585739865899086","6.585739865899086","6.585739865899086","7.503621071577072","7.503621071577072","7.503621071577072","26.082806780934334","26.082806780934334","26.082806780934334","6.954905331134796","6.954905331134796","6.954905331134796","17.223409727215767","17.223409727215767","17.223409727215767","7.997378788888454","7.997378788888454","7.997378788888454"
"69","6.5641226172447205","6.5641226172447205","6.5641226172447205","7.384100072085857","7.384100072085857","7.384100072085857","25.915778696537018","25.915778696537018","25.915778696537018","6.945956468582153","6.945956468582153","6.945956468582153","17.129217736423016","17.129217736423016","17.129217736423016","7.949511215090752","7.949511215090752","7.949511215090752"
"70","6.546950146555901","6.546950146555901","6.546950146555901","7.309037018567324","7.309037018567324","7.309037018567324","25.729051634669304","25.729051634669304","25.729051634669304","6.936324164271355","6.936324164271355","6.936324164271355","17.043579183518887","17.043579183518887","17.043579183518887","7.898581974208355","7.898581974208355","7.898581974208355"
