"Step","stairs_pose_net_g - epoch/test_rotation_loss","stairs_pose_net_g - epoch/test_rotation_loss__MIN","stairs_pose_net_g - epoch/test_rotation_loss__MAX","pumpkin_pose_net_g - epoch/test_rotation_loss","pumpkin_pose_net_g - epoch/test_rotation_loss__MIN","pumpkin_pose_net_g - epoch/test_rotation_loss__MAX","office_pose_net_g - epoch/test_rotation_loss","office_pose_net_g - epoch/test_rotation_loss__MIN","office_pose_net_g - epoch/test_rotation_loss__MAX","heads_pose_net_g - epoch/test_rotation_loss","heads_pose_net_g - epoch/test_rotation_loss__MIN","heads_pose_net_g - epoch/test_rotation_loss__MAX","fire_pose_net_g - epoch/test_rotation_loss","fire_pose_net_g - epoch/test_rotation_loss__MIN","fire_pose_net_g - epoch/test_rotation_loss__MAX","chess_pose_net_g - epoch/test_rotation_loss","chess_pose_net_g - epoch/test_rotation_loss__MIN","chess_pose_net_g - epoch/test_rotation_loss__MAX"
"52","0.013114759887685068","0.013114759887685068","0.013114759887685068","0.018051205384836067","0.018051205384836067","0.018051205384836067","0.055093795439461246","0.055093795439461246","0.055093795439461246","0.01401860808255151","0.01401860808255151","0.01401860808255151","0.03651801560772583","0.03651801560772583","0.03651801560772583","0.01683795485587325","0.01683795485587325","0.01683795485587325"
"53","0.013098490351694636","0.013098490351694636","0.013098490351694636","0.017812811653129756","0.017812811653129756","0.017812811653129756","0.05495509345200844","0.05495509345200844","0.05495509345200844","0.014001076808199286","0.014001076808199286","0.014001076808199286","0.03637950381380506","0.03637950381380506","0.03637950381380506","0.01677090128941927","0.01677090128941927","0.01677090128941927"
"54","0.013067382460576482","0.013067382460576482","0.013067382460576482","0.01759106243844144","0.01759106243844144","0.01759106243844144","0.05479799985187128","0.05479799985187128","0.05479799985187128","0.013984481425723061","0.013984481425723061","0.013984481425723061","0.036247525466023944","0.036247525466023944","0.036247525466023944","0.01670092888525687","0.01670092888525687","0.01670092888525687"
"55","0.013042984748608433","0.013042984748608433","0.013042984748608433","0.017350017391436268","0.017350017391436268","0.017350017391436268","0.05463562294607982","0.05463562294607982","0.05463562294607982","0.013967360486276448","0.013967360486276448","0.013967360486276448","0.03611340021598153","0.03611340021598153","0.03611340021598153","0.016626511540380307","0.016626511540380307","0.016626511540380307"
"56","0.013020744969253428","0.013020744969253428","0.013020744969253428","0.017108549291151576","0.017108549291151576","0.017108549291151576","0.054464534972794354","0.054464534972794354","0.054464534972794354","0.013949034386314452","0.013949034386314452","0.013949034386314452","0.03596340984222479","0.03596340984222479","0.03596340984222479","0.016550842687138356","0.016550842687138356","0.016550842687138356"
"57","0.012991015028092079","0.012991015028092079","0.012991015028092079","0.01688654042663984","0.01688654042663984","0.01688654042663984","0.05429062701296061","0.05429062701296061","0.05429062701296061","0.013931142224464566","0.013931142224464566","0.013931142224464566","0.035823844707920216","0.035823844707920216","0.035823844707920216","0.016474640593514778","0.016474640593514778","0.016474640593514778"
"58","0.012957048427779227","0.012957048427779227","0.012957048427779227","0.016639753375784494","0.016639753375784494","0.016639753375784494","0.054108991695102304","0.054108991695102304","0.054108991695102304","0.013916018011514097","0.013916018011514097","0.013916018011514097","0.03566811661585234","0.03566811661585234","0.03566811661585234","0.01639537632581778","0.01639537632581778","0.01639537632581778"
"59","0.012923809888889082","0.012923809888889082","0.012923809888889082","0.016415238176705316","0.016415238176705316","0.016415238176705316","0.053909209760604426","0.053909209760604426","0.053909209760604426","0.013899690413381904","0.013899690413381904","0.013899690413381904","0.03551301192783285","0.03551301192783285","0.03551301192783285","0.01631985791027546","0.01631985791027546","0.01631985791027546"
"60","0.012887743127066642","0.012887743127066642","0.012887743127066642","0.01620520696451422","0.01620520696451422","0.01620520696451422","0.05369851828436367","0.05369851828436367","0.05369851828436367","0.013882787869079039","0.013882787869079039","0.013882787869079039","0.035358741602976806","0.035358741602976806","0.035358741602976806","0.016236845491221175","0.016236845491221175","0.016236845491221175"
"61","0.01286323240492493","0.01286323240492493","0.01286323240492493","0.015967314233421348","0.015967314233421348","0.015967314233421348","0.05347462714416906","0.05347462714416906","0.05347462714416906","0.01386418569018133","0.01386418569018133","0.01386418569018133","0.035212814167607576","0.035212814167607576","0.035212814167607576","0.01615353420493193","0.01615353420493193","0.01615353420493193"
